state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
PR,2020/07/10,262,59,183,59,20,59,5,59,3
AR,2020/07/15,657,53,390,52,9,53,6,52,1
AZ,2020/07/15,2488,44,2066,58,44,44,44,44,15
CA,2020/07/15,6115,283,4807,277,115,202,100,196,89
CO,2020/07/15,252,51,169,50,6,51,5,50,1
CT,2020/07/15,103,17,31,17,2,17,0,17,1
FL,2020/07/15,6020,122,4893,122,55,122,31,122,48
GA,2020/07/15,1984,62,1266,58,61,62,25,58,5
ID,2020/07/15,172,20,130,19,11,20,9,19,2
IL,2020/07/15,1217,105,634,96,26,105,9,96,3
IN,2020/07/15,425,52,183,47,1,52,0,47,14
MO,2020/07/15,867,87,477,84,18,87,6,84,5
MS,2020/07/15,529,45,430,41,39,45,39,41,9
MT,2020/07/15,27,10,20,9,26,10,13,9,3
NC,2020/07/15,901,70,677,64,6,70,2,64,9
NJ,2020/07/15,264,30,163,30,8,30,7,30,2
NV,2020/07/15,1073,62,826,62,62,58,15,58,14
NY,2020/07/15,1197,83,583,78,15,83,3,78,8
OK,2020/07/15,599,106,420,103,9,59,3,56,4
PA,2020/07/15,660,96,373,89,20,97,10,90,6
SC,2020/07/15,1351,56,1133,56,27,56,5,56,10
TX,2020/07/15,7250,230,6258,221,265,230,216,221,297
VA,2020/07/15,1129,62,434,62,8,62,1,62,2
WA,2020/07/15,403,52,290,49,4,52,1,49,1
WI,2020/07/15,567,117,282,114,11,84,6,81,31
AR,2020/07/16,776,66,419,63,24,66,16,63,2
AZ,2020/07/16,2584,54,2194,66,60,54,51,54,49
CA,2020/07/16,6230,288,4986,281,116,224,87,217,84
CO,2020/07/16,484,65,361,65,30,65,6,65,5
DC,2020/07/16,39,7,30,6,12,7,2,6,1
FL,2020/07/16,7889,204,6670,204,52,114,38,114,38
GA,2020/07/16,2117,71,1471,67,85,71,24,67,13
ID,2020/07/16,187,24,156,23,2,24,2,23,2
IL,2020/07/16,1236,117,618,109,38,117,17,109,6
IN,2020/07/16,562,59,415,56,49,59,45,56,13
KS,2020/07/16,263,64,169,63,3,64,3,63,1
KY,2020/07/16,456,94,5,8,21,8,21,8,8
MD,2020/07/16,675,40,364,40,6,40,2,40,1
MI,2020/07/16,251,78,113,75,6,78,3,75,1
MO,2020/07/16,862,100,505,95,26,100,7,95,3
MT,2020/07/16,42,18,29,17,24,18,14,17,3
NC,2020/07/16,1238,85,906,81,6,85,3,81,4
NH,2020/07/16,46,19,21,16,9,20,7,18,1
NJ,2020/07/16,500,39,275,39,11,39,10,39,3
NM,2020/07/16,394,21,332,18,2,21,1,18,3
NV,2020/07/16,1066,61,872,61,7,60,4,60,12
NY,2020/07/16,1222,99,600,91,43,99,35,91,4
OK,2020/07/16,605,118,453,116,11,64,5,62,2
PA,2020/07/16,683,108,390,103,18,109,11,103,13
SC,2020/07/16,1428,60,1204,59,10,60,8,59,18
TX,2020/07/16,8047,288,7095,273,230,288,182,273,117
VA,2020/07/16,876,66,520,66,4,66,1,66,1
WA,2020/07/16,404,66,320,63,13,66,1,63,3
WV,2020/07/16,113,39,60,36,101,39,100,36,4
AR,2020/07/17,661,68,395,63,17,68,9,63,8
AZ,2020/07/17,2714,52,2237,66,62,52,52,51,38
CA,2020/07/17,6337,303,5082,298,129,245,89,240,88
CO,2020/07/17,348,68,257,68,39,68,4,68,4
DC,2020/07/17,34,7,31,6,14,7,3,6,2
DE,2020/07/17,111,5,99,5,4,5,3,5,1
FL,2020/07/17,8189,217,7082,217,688,198,417,204,55
GA,2020/07/17,2229,76,1573,74,100,76,36,74,11
ID,2020/07/17,187,25,167,24,4,25,2,24,2
IL,2020/07/17,1446,122,681,114,33,122,13,114,3
IN,2020/07/17,611,63,447,57,50,63,47,57,13
KS,2020/07/17,282,69,178,67,2,69,1,67,2
MA,2020/07/17,518,73,164,69,1,13,0,9,15
MD,2020/07/17,677,41,382,41,6,41,1,41,5
MI,2020/07/17,276,86,134,84,12,86,9,84,2
MO,2020/07/17,877,105,509,102,30,105,8,102,3
MS,2020/07/17,651,56,549,55,11,56,10,55,7
NC,2020/07/17,1171,87,919,82,11,87,4,82,5
NJ,2020/07/17,510,40,280,40,67,41,42,41,1
NM,2020/07/17,430,22,366,19,1,22,0,19,2
NV,2020/07/17,1053,63,864,63,10,62,5,62,8
NY,2020/07/17,1127,104,602,96,54,104,31,96,5
OH,2020/07/17,937,95,519,91,42,95,5,91,2
OK,2020/07/17,567,117,438,115,9,69,3,67,6
PA,2020/07/17,788,122,449,117,21,123,12,117,9
SC,2020/07/17,1451,59,1226,59,14,59,2,59,14
TX,2020/07/17,8029,303,7211,289,280,303,222,289,122
UT,2020/07/17,206,38,161,38,1,38,1,38,2
VA,2020/07/17,931,68,590,68,7,68,5,68,6
WA,2020/07/17,425,71,309,69,13,71,1,69,1
WI,2020/07/17,527,118,308,109,5,118,5,109,32
WV,2020/07/17,131,39,64,36,114,39,112,36,3
AR,2020/07/18,654,68,480,64,30,68,25,64,3
AZ,2020/07/18,2599,53,2139,67,64,53,55,53,42
CA,2020/07/18,6171,301,4969,295,123,248,97,242,35
CO,2020/07/18,358,68,257,68,22,68,4,68,2
DC,2020/07/18,33,7,30,6,14,7,3,6,1
DE,2020/07/18,113,5,100,5,3,5,1,5,1
FL,2020/07/18,8339,222,7332,222,658,206,369,213,75
GA,2020/07/18,2314,80,1668,79,126,80,63,79,7
ID,2020/07/18,190,25,168,23,4,25,2,23,1
IL,2020/07/18,1449,123,671,116,38,123,11,116,4
KS,2020/07/18,268,69,168,67,2,69,2,67,3
MA,2020/07/18,502,74,173,69,2,14,0,9,7
MD,2020/07/18,681,41,373,40,8,41,1,40,2
MI,2020/07/18,284,86,141,84,11,86,10,84,1
MN,2020/07/18,109,27,36,26,4,27,0,26,3
MO,2020/07/18,874,107,521,103,28,107,9,103,5
MS,2020/07/18,624,55,530,54,9,55,8,54,11
NC,2020/07/18,1018,85,822,80,7,85,5,80,6
NM,2020/07/18,440,22,368,19,1,22,0,19,1
NV,2020/07/18,1081,63,872,63,19,62,7,62,6
NY,2020/07/18,1114,107,565,98,42,107,29,98,4
OH,2020/07/18,978,98,524,95,42,98,4,95,3
OK,2020/07/18,655,118,504,116,9,56,2,55,3
OR,2020/07/18,226,44,124,41,6,44,1,41,1
PA,2020/07/18,793,124,457,118,25,125,12,118,10
SC,2020/07/18,1384,59,1203,59,8,59,7,59,18
TX,2020/07/18,7999,310,7246,295,194,310,147,295,119
UT,2020/07/18,266,38,178,38,6,38,1,38,1
VA,2020/07/18,935,68,585,68,15,68,4,68,3
WA,2020/07/18,376,71,298,69,29,71,18,69,1
WV,2020/07/18,125,39,64,36,95,39,93,36,3
AR,2020/07/19,554,68,389,64,30,68,23,64,1
AZ,2020/07/19,2557,52,2171,68,75,52,56,52,32
CA,2020/07/19,6294,310,5109,307,79,210,66,207,35
CO,2020/07/19,353,68,247,68,24,68,3,68,2
FL,2020/07/19,5699,99,4924,99,1231,99,23,99,49
GA,2020/07/19,2289,79,1659,79,86,79,22,79,7
IA,2020/07/19,204,48,175,92,1,46,0,44,1
IL,2020/07/19,1460,122,692,115,31,122,4,115,3
IN,2020/07/19,615,64,447,58,50,64,47,58,1
KS,2020/07/19,272,70,176,68,4,70,2,68,1
MA,2020/07/19,536,74,177,70,2,14,0,10,9
MD,2020/07/19,703,41,384,41,5,41,1,41,4
MI,2020/07/19,301,86,155,83,5,86,1,83,2
MN,2020/07/19,97,25,44,25,3,25,0,25,3
MO,2020/07/19,880,107,532,103,23,107,9,103,3
MS,2020/07/19,649,57,558,56,10,57,10,56,8
NC,2020/07/19,1032,83,801,80,9,83,6,80,5
NM,2020/07/19,438,22,375,19,3,22,0,19,1
NV,2020/07/19,1145,62,911,62,13,62,6,62,13
NY,2020/07/19,1119,109,585,100,131,109,25,100,2
OH,2020/07/19,964,97,528,94,39,97,7,94,5
OK,2020/07/19,589,117,465,114,10,54,2,53,6
PA,2020/07/19,720,124,448,118,28,125,14,118,9
SC,2020/07/19,1387,59,1242,59,6,59,5,59,12
SD,2020/07/19,31,25,21,22,1,25,0,22,1
TX,2020/07/19,8140,321,7456,304,176,321,138,304,112
VA,2020/07/19,1266,68,592,68,67,73,31,73,3
WA,2020/07/19,394,71,306,69,28,71,18,69,2
WV,2020/07/19,136,39,72,36,85,39,82,36,3
AR,2020/07/20,590,70,406,67,9,70,1,67,2
AZ,2020/07/20,2542,57,2194,69,68,57,57,57,34
CA,2020/07/20,6376,306,5149,301,100,246,84,241,40
CO,2020/07/20,371,74,269,70,23,74,3,70,2
FL,2020/07/20,8817,213,7831,213,294,207,37,212,67
GA,2020/07/20,2124,78,1581,78,74,78,21,78,13
ID,2020/07/20,210,26,191,24,5,26,5,24,1
IL,2020/07/20,1220,122,661,115,34,122,5,115,2
IN,2020/07/20,651,65,462,62,51,65,47,62,14
KS,2020/07/20,296,71,187,69,3,71,0,69,3
MA,2020/07/20,555,75,168,71,7,15,5,11,13
MD,2020/07/20,620,36,344,36,6,36,1,36,3
MI,2020/07/20,253,86,137,84,11,86,9,84,1
MN,2020/07/20,128,27,49,26,7,27,2,26,3
MO,2020/07/20,914,109,550,105,28,109,6,105,8
MS,2020/07/20,669,60,566,59,11,60,11,59,8
NC,2020/07/20,1082,83,819,81,21,83,5,81,8
NM,2020/07/20,431,24,382,21,4,24,0,21,2
NV,2020/07/20,1156,62,919,62,20,62,5,62,10
NY,2020/07/20,1399,110,662,102,34,110,19,102,3
OH,2020/07/20,912,98,497,96,37,98,4,96,8
OK,2020/07/20,593,111,475,107,13,62,5,59,4
PA,2020/07/20,677,105,346,99,38,106,17,99,6
SC,2020/07/20,1458,60,1304,60,6,60,5,60,14
SD,2020/07/20,26,27,19,23,1,27,0,23,1
TX,2020/07/20,8224,333,7554,312,192,333,148,312,115
VA,2020/07/20,1101,70,617,70,24,70,4,70,6
WA,2020/07/20,384,70,294,67,22,70,0,67,3
WI,2020/07/20,555,118,355,114,3,118,1,114,34
WV,2020/07/20,136,38,68,35,2,38,1,35,3
WY,2020/07/20,23,15,14,17,1,17,0,16,1
AK,2020/07/21,33,9,16,9,2,9,1,9,1
AR,2020/07/21,623,73,386,70,10,73,5,70,5
AZ,2020/07/21,2505,57,2109,71,75,57,55,57,35
CA,2020/07/21,6548,310,5318,305,358,249,120,244,42
CO,2020/07/21,361,76,253,72,28,76,2,72,5
DE,2020/07/21,120,5,104,5,10,5,8,5,1
FL,2020/07/21,9096,221,8277,221,672,214,80,220,78
GA,2020/07/21,2190,85,1621,83,13,85,5,83,18
ID,2020/07/21,218,34,203,33,3,34,3,33,2
IL,2020/07/21,1332,122,666,117,50,122,13,117,4
IN,2020/07/21,946,101,582,98,69,101,53,98,15
KS,2020/07/21,270,74,169,71,3,74,1,71,2
KY,2020/07/21,936,74,67,29,2,29,0,29,10
MA,2020/07/21,497,64,147,59,8,24,7,19,16
MD,2020/07/21,701,37,381,37,3,37,0,37,1
MN,2020/07/21,149,28,37,26,3,28,2,26,1
MO,2020/07/21,962,112,547,108,28,112,11,108,7
MS,2020/07/21,700,61,593,59,10,61,10,59,14
MT,2020/07/21,88,22,63,19,3,22,2,19,2
NC,2020/07/21,1085,88,830,86,15,88,6,86,14
NJ,2020/07/21,490,37,239,37,58,38,35,38,10
NM,2020/07/21,406,24,370,23,4,24,0,23,2
NV,2020/07/21,1168,61,922,61,12,61,4,61,18
NY,2020/07/21,1240,110,562,102,34,110,21,102,4
OH,2020/07/21,1134,110,584,107,53,110,7,107,6
OK,2020/07/21,676,119,495,113,43,75,4,71,7
PA,2020/07/21,844,114,410,107,64,115,55,107,3
SC,2020/07/21,1513,62,1280,62,5,62,5,62,21
TX,2020/07/21,8346,339,7622,320,215,339,141,320,110
UT,2020/07/21,208,38,165,38,3,38,3,38,3
VA,2020/07/21,1395,71,629,71,42,71,4,71,7
WA,2020/07/21,397,70,311,67,17,70,1,67,8
WI,2020/07/21,625,116,332,113,26,116,9,113,35
AK,2020/07/22,29,9,16,9,4,9,3,9,1
AL,2020/07/22,1837,102,1572,102,26,99,28,99,28
AR,2020/07/22,718,76,412,73,20,76,8,73,7
AZ,2020/07/22,2366,62,2012,75,38,62,17,62,45
CA,2020/07/22,7997,345,6544,342,189,253,135,250,34
CO,2020/07/22,328,76,238,72,21,76,1,72,2
FL,2020/07/22,10464,245,9264,243,806,233,75,243,96
GA,2020/07/22,2333,95,1766,92,145,95,85,92,18
ID,2020/07/22,205,35,188,33,4,35,3,33,3
IL,2020/07/22,1494,147,767,142,60,147,16,142,8
IN,2020/07/22,640,105,311,101,12,105,3,101,17
KS,2020/07/22,318,79,196,74,5,79,1,74,2
MA,2020/07/22,262,76,187,73,15,76,7,73,6
MD,2020/07/22,1106,49,568,48,16,49,3,48,3
MN,2020/07/22,84,16,29,14,4,16,3,14,3
MO,2020/07/22,969,116,580,112,36,116,9,112,4
MS,2020/07/22,936,72,805,70,20,72,19,70,21
MT,2020/07/22,77,23,63,19,3,23,0,19,1
NC,2020/07/22,1553,102,1034,100,59,102,44,100,20
NJ,2020/07/22,581,51,287,50,70,52,32,51,6
NV,2020/07/22,1224,61,937,61,16,61,6,61,13
NY,2020/07/22,1332,115,564,106,42,115,19,106,10
OH,2020/07/22,1434,124,781,120,49,124,11,120,4
OK,2020/07/22,663,120,489,113,15,80,3,74,4
PA,2020/07/22,1025,138,561,132,80,139,53,132,8
SC,2020/07/22,1575,67,1356,67,9,67,6,67,40
TN,2020/07/22,1513,111,1078,109,20,110,10,108,6
TX,2020/07/22,9006,350,8139,333,223,350,154,333,241
UT,2020/07/22,210,40,161,40,5,40,4,40,1
VA,2020/07/22,1480,75,654,74,9,75,6,74,6
WA,2020/07/22,380,71,307,68,20,71,5,68,5
WI,2020/07/22,605,127,334,127,2,127,1,127,39
AL,2020/07/23,1943,105,1661,105,28,104,29,104,22
AR,2020/07/23,658,77,371,75,47,77,38,75,8
AZ,2020/07/23,2740,73,2325,85,54,73,18,72,49
CA,2020/07/23,8871,371,7158,370,155,362,114,361,93
CO,2020/07/23,326,79,255,75,76,79,57,75,1
DC,2020/07/23,130,9,96,8,5,9,0,8,1
FL,2020/07/23,11131,254,10014,254,745,242,74,254,120
GA,2020/07/23,2684,103,2045,100,73,103,21,100,16
IA,2020/07/23,273,117,225,120,1,117,1,116,5
ID,2020/07/23,226,36,206,34,3,36,3,34,1
IL,2020/07/23,1589,156,793,149,50,156,18,149,10
IN,2020/07/23,777,113,377,110,6,113,2,110,22
KS,2020/07/23,298,82,201,77,3,82,0,77,2
MA,2020/07/23,399,79,158,76,9,79,1,76,3
MD,2020/07/23,1031,49,567,48,6,49,1,48,8
MI,2020/07/23,466,117,261,115,17,117,13,115,3
MN,2020/07/23,135,28,40,27,6,28,1,27,2
MO,2020/07/23,824,117,557,112,31,117,11,112,9
MS,2020/07/23,968,72,825,71,16,72,14,71,14
MT,2020/07/23,60,20,41,18,4,20,3,18,1
NC,2020/07/23,1470,102,1011,100,72,102,54,100,10
NJ,2020/07/23,954,63,368,62,93,64,38,63,215
NV,2020/07/23,1229,61,976,61,7,61,6,61,8
NY,2020/07/23,1365,118,563,107,49,118,20,107,11
OH,2020/07/23,1319,128,720,126,53,128,6,126,6
OK,2020/07/23,664,117,503,111,18,78,7,73,8
PA,2020/07/23,1108,146,587,139,87,147,54,140,6
RI,2020/07/23,76,11,35,11,2,11,0,11,2
SC,2020/07/23,1563,73,1331,73,15,73,6,73,35
TN,2020/07/23,1451,107,1088,105,30,106,12,104,12
TX,2020/07/23,10095,493,9121,486,89,177,56,170,289
UT,2020/07/23,207,43,179,43,5,43,4,43,1
VA,2020/07/23,1418,75,637,75,61,75,3,75,5
WA,2020/07/23,485,79,383,76,25,79,4,76,8
WI,2020/07/23,650,130,358,130,3,130,0,130,39
AL,2020/07/24,1901,105,1632,105,26,103,14,103,20
AR,2020/07/24,709,78,410,76,18,78,6,76,6
AZ,2020/07/24,2649,73,2224,84,53,73,17,72,40
CA,2020/07/24,8834,375,7131,373,159,364,91,362,80
CO,2020/07/24,374,80,289,74,84,80,60,74,4
CT,2020/07/24,177,30,64,30,2,30,1,30,1
DC,2020/07/24,137,10,95,9,18,10,6,9,1
DE,2020/07/24,115,6,97,6,17,6,13,6,1
FL,2020/07/24,10880,254,9862,254,693,244,71,254,154
GA,2020/07/24,2770,105,2074,102,145,105,89,102,24
IA,2020/07/24,273,119,218,122,3,119,1,119,5
ID,2020/07/24,215,37,199,35,3,37,3,35,1
IL,2020/07/24,1504,157,789,148,48,157,14,148,10
IN,2020/07/24,749,114,387,111,6,114,1,111,21
KS,2020/07/24,310,83,196,77,11,83,8,77,2
KY,2020/07/24,550,87,111,32,2,32,1,32,4
MA,2020/07/24,353,79,142,76,6,78,1,76,4
MD,2020/07/24,1025,49,596,47,24,49,5,47,10
MI,2020/07/24,475,116,267,114,17,116,10,114,1
MN,2020/07/24,307,68,162,65,5,68,2,65,1
MO,2020/07/24,805,118,572,113,22,119,4,114,9
MS,2020/07/24,929,71,801,70,12,71,10,70,14
MT,2020/07/24,95,21,69,19,2,21,0,19,3
NC,2020/07/24,1442,102,1009,100,70,102,54,100,8
NJ,2020/07/24,864,63,353,62,94,64,40,63,6
NM,2020/07/24,411,26,375,25,5,26,1,25,1
NV,2020/07/24,1230,61,978,61,10,61,8,61,14
NY,2020/07/24,1405,134,619,124,46,134,21,124,10
OH,2020/07/24,1332,129,785,127,40,129,6,127,8
OK,2020/07/24,672,121,511,116,27,85,13,81,11
PA,2020/07/24,1065,147,578,142,89,148,56,143,9
RI,2020/07/24,55,11,37,11,6,11,1,11,1
SC,2020/07/24,1585,73,1363,73,7,73,5,73,27
TN,2020/07/24,1444,110,1109,108,18,110,8,108,24
TX,2020/07/24,9056,525,7879,522,68,518,34,515,230
VA,2020/07/24,1432,75,658,75,64,75,7,75,5
WA,2020/07/24,484,79,379,77,24,79,4,77,6
WI,2020/07/24,582,130,368,130,3,130,2,130,39
WV,2020/07/24,153,40,86,39,2,40,1,39,2
AL,2020/07/25,1982,106,1686,106,250,105,232,104,21
AR,2020/07/25,803,77,474,73,180,77,173,73,9
AZ,2020/07/25,2695,73,2234,84,189,73,176,72,48
CA,2020/07/25,8502,378,6974,375,208,370,173,367,90
CO,2020/07/25,443,80,373,75,73,80,59,75,7
CT,2020/07/25,169,30,69,30,1,30,1,30,2
DC,2020/07/25,128,10,84,9,15,10,5,9,1
FL,2020/07/25,10871,253,10055,253,889,245,323,252,119
GA,2020/07/25,2451,98,1874,95,150,98,90,95,19
IA,2020/07/25,273,121,223,122,17,121,14,121,1
ID,2020/07/25,214,37,199,35,38,37,37,35,1
IL,2020/07/25,1467,156,726,146,105,156,72,146,3
IN,2020/07/25,742,110,376,107,93,110,88,107,21
KS,2020/07/25,350,83,234,77,91,83,89,77,4
KY,2020/07/25,598,87,159,34,163,34,162,34,2
MA,2020/07/25,408,79,210,76,247,78,244,76,6
MD,2020/07/25,1029,49,572,47,50,49,35,47,5
MI,2020/07/25,455,116,252,113,23,116,17,113,2
MO,2020/07/25,755,117,564,112,169,118,148,113,7
MS,2020/07/25,947,70,826,69,12,70,11,69,12
MT,2020/07/25,83,21,67,19,2,21,0,19,3
NC,2020/07/25,1288,118,936,118,67,118,56,118,16
NJ,2020/07/25,805,63,335,62,235,64,181,63,2
NV,2020/07/25,1188,61,985,61,64,61,58,61,8
NY,2020/07/25,1485,135,615,126,42,135,22,126,21
OH,2020/07/25,1443,128,872,125,84,128,49,125,7
OK,2020/07/25,716,123,561,119,16,69,7,66,5
PA,2020/07/25,1216,148,808,141,190,149,160,142,5
SC,2020/07/25,1691,73,1505,73,159,73,155,73,26
TN,2020/07/25,1516,108,1223,107,189,108,176,107,19
TX,2020/07/25,10385,525,9249,522,87,521,53,518,267
UT,2020/07/25,240,43,203,43,5,43,3,43,1
VA,2020/07/25,1526,76,766,75,173,76,131,75,10
WA,2020/07/25,492,79,379,75,18,79,1,75,1
WI,2020/07/25,569,129,339,129,3,129,2,129,4
WV,2020/07/25,219,41,159,39,147,41,147,39,1
AL,2020/07/26,2019,104,1750,104,70,103,56,101,28
AR,2020/07/26,885,77,559,74,14,77,9,74,7
AZ,2020/07/26,2630,70,2219,84,51,70,38,69,51
CA,2020/07/26,8401,377,6895,374,106,369,64,366,104
CO,2020/07/26,379,80,298,74,71,80,58,74,5
CT,2020/07/26,170,30,67,30,1,30,1,30,1
FL,2020/07/26,10575,254,9777,254,649,245,83,253,153
GA,2020/07/26,2517,100,1947,98,76,100,25,98,26
IA,2020/07/26,289,122,240,122,5,122,4,121,10
IL,2020/07/26,1549,156,770,146,48,156,13,146,6
IN,2020/07/26,757,107,378,104,8,107,2,104,18
KS,2020/07/26,425,82,317,76,13,82,11,76,4
KY,2020/07/26,567,91,324,82,10,82,10,82,6
MA,2020/07/26,344,79,165,76,8,78,2,76,7
MD,2020/07/26,1045,49,560,47,22,49,4,47,3
MI,2020/07/26,467,115,259,113,21,115,16,113,1
MO,2020/07/26,816,117,610,112,13,118,4,113,4
MS,2020/07/26,921,70,805,69,14,70,13,69,14
MT,2020/07/26,84,21,68,19,2,21,0,19,4
NC,2020/07/26,1268,118,937,118,26,118,13,118,14
NH,2020/07/26,51,24,18,23,1,24,0,23,1
NJ,2020/07/26,797,63,377,62,71,64,35,63,2
NM,2020/07/26,417,25,375,24,5,25,0,24,3
NV,2020/07/26,1228,61,957,61,12,61,8,61,8
NY,2020/07/26,1451,136,621,126,52,136,25,126,20
OH,2020/07/26,1301,127,804,125,38,127,6,125,6
OK,2020/07/26,725,124,524,119,5,77,4,74,3
PA,2020/07/26,1215,141,797,134,35,142,10,134,9
SC,2020/07/26,1674,73,1521,73,8,73,5,73,29
TN,2020/07/26,1501,106,1214,105,23,106,8,105,33
TX,2020/07/26,3301,525,3075,522,48,521,35,518,264
VA,2020/07/26,1160,76,815,75,5,76,4,75,1
WA,2020/07/26,464,80,369,77,17,80,2,77,1
WI,2020/07/26,563,124,327,122,6,124,1,122,4
WV,2020/07/26,273,41,210,39,2,41,0,39,1
AK,2020/07/27,51,23,34,23,5,23,0,23,2
AL,2020/07/27,2007,106,1717,106,31,106,10,106,16
AR,2020/07/27,691,76,399,74,15,76,12,74,5
AZ,2020/07/27,2445,74,2024,85,29,74,17,73,32
CA,2020/07/27,8599,383,7101,382,156,355,91,354,79
CO,2020/07/27,377,83,279,76,78,83,59,76,2
DC,2020/07/27,125,10,80,10,19,10,7,10,3
FL,2020/07/27,10613,253,9732,253,708,244,102,251,144
GA,2020/07/27,2433,96,1869,94,13,96,5,94,19
IA,2020/07/27,292,123,252,123,6,123,4,123,6
ID,2020/07/27,227,40,200,36,4,40,3,36,2
IL,2020/07/27,1499,159,742,151,44,159,12,151,6
IN,2020/07/27,761,108,376,106,40,108,1,106,15
KS,2020/07/27,310,83,201,78,13,83,10,78,9
KY,2020/07/27,548,92,314,92,6,92,6,92,10
MA,2020/07/27,337,79,142,77,10,79,1,77,7
MD,2020/07/27,1037,49,573,47,20,49,4,47,8
MI,2020/07/27,454,116,262,114,16,116,13,114,1
MN,2020/07/27,303,92,186,89,12,92,3,89,1
MO,2020/07/27,745,117,572,112,16,118,5,113,3
MS,2020/07/27,929,71,823,70,18,71,13,70,14
MT,2020/07/27,79,20,64,19,2,20,0,19,4
NC,2020/07/27,1289,116,910,115,30,116,17,115,13
NJ,2020/07/27,788,62,332,61,71,63,32,62,6
NV,2020/07/27,1239,62,994,62,10,62,6,62,19
NY,2020/07/27,1464,137,588,127,90,137,22,127,9
OH,2020/07/27,1458,128,815,126,36,128,6,126,11
OK,2020/07/27,674,123,526,117,10,83,7,79,9
PA,2020/07/27,1155,150,613,142,31,151,11,142,2
SC,2020/07/27,1529,74,1346,73,5,74,3,73,34
TN,2020/07/27,1426,108,1133,107,21,108,6,107,37
TX,2020/07/27,9819,523,8684,521,90,519,48,517,159
VA,2020/07/27,1031,76,679,75,8,76,4,75,6
WA,2020/07/27,513,80,399,77,18,80,2,77,5
WI,2020/07/27,524,126,348,126,2,126,2,126,4
WV,2020/07/27,137,41,90,39,9,41,5,39,1
AK,2020/07/28,49,23,31,23,1,23,0,23,1
AL,2020/07/28,2017,104,1714,104,64,104,18,104,23
AR,2020/07/28,685,77,402,74,13,77,9,74,9
AZ,2020/07/28,2387,72,1991,82,46,72,13,71,43
CA,2020/07/28,8444,384,6950,381,141,373,86,370,98
CO,2020/07/28,375,83,279,77,72,83,55,77,3
DC,2020/07/28,120,10,81,10,17,10,6,10,3
FL,2020/07/28,10379,254,9534,254,778,251,86,253,142
GA,2020/07/28,2461,98,1848,94,33,98,17,94,33
IA,2020/07/28,304,122,243,122,6,122,4,122,4
IL,2020/07/28,1551,158,746,150,64,158,13,150,7
IN,2020/07/28,784,108,405,106,14,108,3,106,13
KS,2020/07/28,350,88,217,83,3,88,0,83,12
KY,2020/07/28,578,92,326,92,7,92,0,92,8
MD,2020/07/28,1110,50,580,47,39,50,13,47,4
MI,2020/07/28,515,117,283,114,17,117,13,114,2
MO,2020/07/28,804,115,581,110,20,116,4,111,8
MS,2020/07/28,955,73,834,72,12,73,9,72,19
MT,2020/07/28,79,27,72,25,4,27,0,25,1
NC,2020/07/28,1370,117,922,117,34,117,17,117,22
NJ,2020/07/28,909,63,356,63,79,64,30,64,2
NM,2020/07/28,377,20,352,20,9,20,0,20,3
NV,2020/07/28,1183,62,946,62,13,62,10,62,19
NY,2020/07/28,1759,136,635,129,107,136,23,129,20
OH,2020/07/28,1487,128,838,127,57,128,5,127,11
OK,2020/07/28,669,124,517,116,4,84,3,79,7
OR,2020/07/28,250,47,137,45,7,47,1,45,1
PA,2020/07/28,1131,153,627,145,406,154,29,146,6
SC,2020/07/28,1543,74,1332,73,10,74,5,73,22
TN,2020/07/28,1443,113,1160,112,19,113,4,112,17
TX,2020/07/28,11374,516,9764,514,42,516,30,514,157
VA,2020/07/28,1035,74,680,73,15,74,7,73,5
WA,2020/07/28,517,80,374,78,24,80,5,78,1
WI,2020/07/28,615,124,361,124,4,124,2,124,4
WV,2020/07/28,132,40,91,38,2,40,0,38,3
AL,2020/07/29,2054,100,1707,100,84,100,36,100,9
AR,2020/07/29,677,83,426,78,15,83,8,78,8
AZ,2020/07/29,2267,74,1901,85,18,74,7,72,50
CA,2020/07/29,8198,384,6720,383,147,360,104,359,92
CO,2020/07/29,347,84,265,78,90,84,73,78,6
DC,2020/07/29,134,11,89,11,23,11,5,11,78
DE,2020/07/29,133,7,119,7,10,7,9,7,1
FL,2020/07/29,9793,254,9001,254,673,249,72,253,135
GA,2020/07/29,2559,106,1989,102,193,106,34,102,27
IA,2020/07/29,324,123,234,123,8,123,4,123,8
ID,2020/07/29,235,42,214,39,4,42,3,39,1
IL,2020/07/29,1415,157,735,149,70,157,28,149,9
IN,2020/07/29,767,113,413,111,9,113,2,111,16
KS,2020/07/29,359,93,235,87,4,93,0,87,11
KY,2020/07/29,592,95,325,95,16,95,4,95,11
MA,2020/07/29,323,79,142,77,14,78,1,77,1
MD,2020/07/29,1103,50,596,47,28,50,8,47,10
MN,2020/07/29,290,96,187,95,9,96,4,95,3
MO,2020/07/29,742,118,569,112,22,119,9,113,11
MS,2020/07/29,975,78,834,78,11,78,7,78,13
MT,2020/07/29,53,23,49,21,7,23,0,21,1
